id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
27509,81,364,1669,2H,2299.472436,Duel,Ground defending duel,lost,6,14,10.0,18.0,f
27519,81,364,1433,2H,2352.5139900000004,Pass,Simple pass,interception,31,74,42.0,81.0,f
27535,63,364,51,2H,2432.519209,Pass,Simple pass,,79,73,88.0,97.0,f
27565,63,364,1586,2H,2593.015374,Duel,Air duel,lost,62,90,58.0,80.0,f
27575,81,364,826,2H,2648.150436,Pass,Simple pass,,76,89,64.0,100.0,f
27589,81,364,1975,2H,2719.891652,Duel,Ground defending duel,lost,35,87,39.0,85.0,f
27606,63,364,1617,2H,2762.4101920000003,Duel,Ground defending duel,lost,74,5,77.0,7.0,f
27622,63,364,711,2H,2812.898376,Duel,Ground loose ball duel,lost,88,91,39.0,48.0,f
27643,63,364,1617,2H,2865.876961,Pass,Smart pass,,78,55,80.0,69.0,f
27192,81,364,1998,2H,1146.4169300000003,Pass,Simple pass,,59,8,35.0,43.0,t
27197,63,364,51,2H,1154.7609119999995,Pass,Simple pass,,36,67,79.0,81.0,t
27202,63,364,1586,2H,1160.8395659999996,Pass,Simple pass,,38,28,56.0,30.0,t
27206,81,364,1975,2H,1172.6335419999996,Duel,Ground defending duel,won,16,9,23.0,10.0,t
27213,63,364,1617,2H,1192.1063169999998,Duel,Ground attacking duel,won,80,16,85.0,13.0,t
27225,81,364,1998,2H,1267.4082150000004,Free Kick,Throw in,,35,0,52.0,22.0,t
27229,81,364,178,2H,1280.9080789999998,Pass,Simple pass,,69,87,75.0,95.0,t
27233,81,364,1631,2H,1285.3714570000002,Duel,Ground loose ball duel,neutral,75,96,69.0,100.0,t
27240,81,364,1631,2H,1314.3225789999997,Duel,Ground attacking duel,neutral,56,93,56.0,93.0,t
27244,81,364,178,2H,1326.7992860000004,Pass,Simple pass,,93,95,72.0,95.0,t
27248,81,364,1998,2H,1341.345421,Pass,Simple pass,,70,7,70.0,19.0,t
27256,63,364,1368,2H,1357.9453990000002,Free Kick,Throw in,,36,100,30.0,18.0,t
27264,81,364,1998,2H,1404.1992179999995,Duel,Ground attacking duel,won,60,16,61.0,25.0,t
27273,63,364,1368,2H,1445.659541,Pass,Simple pass,,14,72,6.0,52.0,t
27279,81,364,1669,2H,1482.7129619999996,Pass,Simple pass,,70,31,68.0,56.0,t
27284,63,364,1617,2H,1498.5014680000004,Pass,Simple pass,,40,14,29.0,8.0,t
27288,63,364,1690,2H,1506.7282569999998,Pass,Simple pass,,44,58,37.0,66.0,t
27294,63,364,51,2H,1522.1343749999996,Pass,Simple pass,,53,69,32.0,83.0,t
27300,81,364,178,2H,1540.1511069999997,Pass,Simple pass,,46,54,39.0,55.0,t
27312,81,364,1975,2H,1625.632751,Others on the ball,Clearance,interception,15,39,34.0,36.0,t
27317,81,364,1669,2H,1637.114219,Duel,Ground attacking duel,neutral,70,6,66.0,0.0,t
27325,63,364,1584,2H,1671.600558,Pass,Simple pass,,8,73,31.0,81.0,t
27331,81,364,826,2H,1712.6047559999995,Pass,Simple pass,,71,93,70.0,86.0,t
27336,81,364,1631,2H,1754.8271059999995,Free Kick,Throw in,,72,100,79.0,94.0,t
27341,81,364,826,2H,1765.090432,Duel,Ground attacking duel,won,76,93,84.0,92.0,t
27350,81,364,1433,2H,1789.046496,Duel,Ground defending duel,neutral,47,49,50.0,48.0,t
27355,81,364,178,2H,1794.6028779999997,Pass,Simple pass,interception,39,90,13.0,65.0,t
27360,81,364,1998,2H,1820.418575,Free Kick,Throw in,,68,0,68.0,12.0,t
27367,81,364,1732,2H,1827.428669,Duel,Ground loose ball duel,won,18,3,71.0,7.0,t
27371,81,364,1732,2H,1837.204712,Pass,Simple pass,,70,22,72.0,6.0,t
27375,81,364,1433,2H,1845.314568,Pass,High pass,,47,44,69.0,7.0,t
27380,63,364,51,2H,1852.9036210000004,Pass,Simple pass,,32,75,39.0,71.0,t
27386,81,364,1732,2H,1865.6220000000003,Pass,Simple pass,,58,18,59.0,25.0,t
27392,81,364,1669,2H,1911.685386,Pass,Simple pass,,62,6,27.0,11.0,t
27396,63,364,36,2H,1923.7879270000003,Duel,Air duel,neutral,39,27,34.0,27.0,t
27403,63,364,1292,2H,1931.432208,Duel,Ground defending duel,neutral,31,4,35.0,0.0,t
27410,81,364,1669,2H,1959.2094960000004,Pass,Simple pass,,89,6,96.0,26.0,t
27417,81,364,1433,2H,1990.5630570000003,Duel,Air duel,won,93,63,48.0,24.0,t
27428,81,364,940,2H,2012.5153630000004,Pass,Simple pass,,27,26,11.0,52.0,t
27432,81,364,1998,2H,2026.9064740000003,Pass,Simple pass,,57,8,69.0,39.0,t
27442,81,364,940,2H,2092.428307,Duel,Ground loose ball duel,won,75,18,90.0,25.0,t
27451,81,364,940,2H,2130.703235,Pass,Simple pass,,53,80,38.0,71.0,t
